GEO,GEOID2,est_pop
1500000US060014359004,60014359004,909
1500000US060014360001,60014360001,1219
1500000US060014360002,60014360002,1959
1500000US060014360003,60014360003,1308
1500000US060014361001,60014361001,1311
1500000US060014361002,60014361002,2426
1500000US060014361003,60014361003,2397
1500000US060014362001,60014362001,1473
1500000US060014362002,60014362002,2676
1500000US060014363001,60014363001,2173
1500000US060014363002,60014363002,2328
1500000US060014363003,60014363003,1788
1500000US060014363004,60014363004,2102
1500000US060014364011,60014364011,1011
1500000US060014364012,60014364012,2347
1500000US060014364013,60014364013,1828
1500000US060014364014,60014364014,1617
1500000US060014364015,60014364015,955
1500000US060014364021,60014364021,1474
1500000US060014364022,60014364022,1204
1500000US060014365001,60014365001,2169
1500000US060014365002,60014365002,2829
1500000US060014366011,60014366011,1685
1500000US060014366012,60014366012,3223
1500000US060014366013,60014366013,2007
1500000US060014366021,60014366021,3603
1500000US060014366022,60014366022,1481
1500000US060014367001,60014367001,1461
1500000US060014367002,60014367002,1819
1500000US060014368001,60014368001,2377
1500000US060014368002,60014368002,1802
1500000US060014369001,60014369001,2311
1500000US060014369002,60014369002,1082
1500000US060014369003,60014369003,1248
1500000US060014369004,60014369004,2197
1500000US060014370001,60014370001,1266
1500000US060014370002,60014370002,1002
1500000US060014370003,60014370003,1240
1500000US060014371011,60014371011,3422
1500000US060014371012,60014371012,1876
1500000US060014371013,60014371013,1888
1500000US060014371021,60014371021,1353
1500000US060014371022,60014371022,1936
1500000US060014371023,60014371023,1297
1500000US060014372001,60014372001,3286
1500000US060014372002,60014372002,813
1500000US060014372003,60014372003,1146
1500000US060014372004,60014372004,2619
1500000US060014373001,60014373001,769
1500000US060014373002,60014373002,1691
1500000US060014373003,60014373003,769
1500000US060014374001,60014374001,831
1500000US060014374002,60014374002,2503
1500000US060014375001,60014375001,2159
1500000US060014375002,60014375002,2413
1500000US060014376001,60014376001,2546
1500000US060014376002,60014376002,1283
1500000US060014377011,60014377011,663
1500000US060014377012,60014377012,2086
1500000US060014377013,60014377013,996
1500000US060014377021,60014377021,2673
1500000US060014377022,60014377022,2131
1500000US060014378001,60014378001,3711
1500000US060014378002,60014378002,993
1500000US060014379001,60014379001,1131
1500000US060014379002,60014379002,1323
1500000US060014380001,60014380001,2781
1500000US060014380002,60014380002,1096
1500000US060014381001,60014381001,2109
1500000US060014381002,60014381002,913
1500000US060014381003,60014381003,748
1500000US060014381004,60014381004,1071
1500000US060014381005,60014381005,1261
1500000US060014381006,60014381006,1389
1500000US060014382011,60014382011,1491
1500000US060014382012,60014382012,1957
1500000US060014382013,60014382013,1553
1500000US060014382031,60014382031,1629
1500000US060014382032,60014382032,2666
1500000US060014382041,60014382041,1793
1500000US060014382042,60014382042,1118
1500000US060014382043,60014382043,2556
1500000US060014383001,60014383001,1528
1500000US060014383002,60014383002,1645
1500000US060014383003,60014383003,824
1500000US060014384001,60014384001,1013
1500000US060014384002,60014384002,1403
1500000US060014401001,60014401001,2447
1500000US060014402001,60014402001,1819
1500000US060014402002,60014402002,1425
1500000US060014402003,60014402003,1646
1500000US060014402004,60014402004,1080
1500000US060014403011,60014403011,2257
1500000US060014403012,60014403012,1987
1500000US060014403013,60014403013,1179
1500000US060014403014,60014403014,1946
1500000US060014403041,60014403041,1094
1500000US060014403042,60014403042,2436
1500000US060014403043,60014403043,1610
1500000US060014403051,60014403051,922
1500000US060014403052,60014403052,1202
1500000US060014403053,60014403053,1981
1500000US060014403061,60014403061,2857
1500000US060014403062,60014403062,1365
1500000US060014403071,60014403071,2749
1500000US060014403072,60014403072,953
1500000US060014403073,60014403073,743
1500000US060014403081,60014403081,1565
1500000US060014403082,60014403082,986
1500000US060014403083,60014403083,2010
1500000US060014403084,60014403084,1656
1500000US060014403311,60014403311,1939
1500000US060014403312,60014403312,1434
1500000US060014403321,60014403321,1334
1500000US060014403322,60014403322,2278
1500000US060014403331,60014403331,1823
1500000US060014403332,60014403332,1250
1500000US060014403341,60014403341,1962
1500000US060014403342,60014403342,2574
1500000US060014403351,60014403351,3221
1500000US060014403352,60014403352,3758
1500000US060014403361,60014403361,2105
1500000US060014403362,60014403362,2844
