GEO,GEOID2,MMHI,error
1500000US060014087005,60014087005,45900,23901
1500000US060014087006,60014087006,49028,25441
1500000US060014088001,60014088001,39500,9233
1500000US060014088002,60014088002,24940,8750
1500000US060014088003,60014088003,15329,8657
1500000US060014088004,60014088004,24432,10437
1500000US060014089001,60014089001,21719,4057
1500000US060014089002,60014089002,41493,3966
1500000US060014090001,60014090001,42183,9284
1500000US060014090002,60014090002,-,**
1500000US060014090003,60014090003,47917,14657
1500000US060014090004,60014090004,-,**
1500000US060014091001,60014091001,48750,35961
1500000US060014091002,60014091002,48017,18549
1500000US060014092001,60014092001,57981,9808
1500000US060014092002,60014092002,43850,4926
1500000US060014093001,60014093001,39519,18948
1500000US060014093002,60014093002,36917,8213
1500000US060014093003,60014093003,36188,5239
1500000US060014093004,60014093004,45542,19276
1500000US060014094001,60014094001,-,**
1500000US060014094002,60014094002,49509,12193
1500000US060014094003,60014094003,39185,16448
1500000US060014095001,60014095001,32146,8900
1500000US060014095002,60014095002,40192,15294
1500000US060014095003,60014095003,34438,9833
1500000US060014096001,60014096001,39602,24908
1500000US060014096002,60014096002,30086,6254
1500000US060014096003,60014096003,66094,19647
1500000US060014096004,60014096004,50787,25061
1500000US060014096005,60014096005,47125,15207
1500000US060014097001,60014097001,34327,12680
1500000US060014097002,60014097002,53804,12804
1500000US060014097003,60014097003,40667,11193
1500000US060014097004,60014097004,47098,10679
1500000US060014098001,60014098001,102870,12702
1500000US060014098002,60014098002,52634,22065
1500000US060014098003,60014098003,68173,50693
1500000US060014099001,60014099001,84091,35629
1500000US060014099002,60014099002,92500,19552
1500000US060014099003,60014099003,90833,30427
1500000US060014099004,60014099004,164722,66780
1500000US060014100001,60014100001,103750,29491
1500000US060014100002,60014100002,115968,10878
1500000US060014100003,60014100003,-,**
1500000US060014101001,60014101001,66293,9488
1500000US060014101002,60014101002,49500,15486
1500000US060014102001,60014102001,42171,42068
1500000US060014102002,60014102002,58036,22733
1500000US060014102003,60014102003,56477,21298
1500000US060014103001,60014103001,-,**
1500000US060014103002,60014103002,51023,12391
1500000US060014103003,60014103003,52727,14110
1500000US060014104001,60014104001,72672,6356
1500000US060014104002,60014104002,78571,28130
1500000US060014104003,60014104003,54375,15815
1500000US060014105001,60014105001,25536,9078
1500000US060014201001,60014201001,124167,11678
1500000US060014201002,60014201002,136346,17492
1500000US060014201003,60014201003,114034,17199
1500000US060014202001,60014202001,88750,19449
1500000US060014202002,60014202002,95078,36999
1500000US060014202003,60014202003,86875,54011
1500000US060014203001,60014203001,78693,20401
1500000US060014203002,60014203002,83235,17863
1500000US060014203003,60014203003,110938,25404
1500000US060014204001,60014204001,43272,5398
1500000US060014205001,60014205001,84643,27832
1500000US060014205002,60014205002,91667,13422
1500000US060014206001,60014206001,174500,35307
1500000US060014206002,60014206002,155039,40999
1500000US060014206003,60014206003,92269,16360
1500000US060014211001,60014211001,168750,53239
1500000US060014211002,60014211002,181635,12935
1500000US060014212001,60014212001,186827,36500
1500000US060014212002,60014212002,166852,65560
1500000US060014212003,60014212003,149792,65724
1500000US060014212004,60014212004,143214,23649
1500000US060014213001,60014213001,165052,31528
1500000US060014213002,60014213002,88750,55918
1500000US060014213003,60014213003,121250,43102
1500000US060014213004,60014213004,179375,44670
1500000US060014214001,60014214001,152857,32855
1500000US060014214002,60014214002,145938,25823
1500000US060014215001,60014215001,170417,25767
1500000US060014215002,60014215002,146429,29588
1500000US060014215003,60014215003,153056,24786
1500000US060014216001,60014216001,106607,13731
1500000US060014216002,60014216002,210455,132420
1500000US060014216003,60014216003,133393,28844
1500000US060014216004,60014216004,124750,48278
1500000US060014217001,60014217001,84228,35505
1500000US060014217002,60014217002,64674,25530
1500000US060014217003,60014217003,52361,18947
1500000US060014218001,60014218001,124028,21955
1500000US060014218002,60014218002,133571,27510
1500000US060014219001,60014219001,87583,20183
1500000US060014219002,60014219002,110865,30742
1500000US060014219003,60014219003,93333,24681
1500000US060014219004,60014219004,122614,58422
1500000US060014220001,60014220001,84444,16825
1500000US060014220002,60014220002,40313,34934
1500000US060014221001,60014221001,-,**
1500000US060014221002,60014221002,66505,13454
1500000US060014222001,60014222001,106016,7587
1500000US060014222002,60014222002,87031,22076
1500000US060014222003,60014222003,76071,27487
1500000US060014223001,60014223001,73049,9926
1500000US060014223002,60014223002,78355,26403
1500000US060014223003,60014223003,52941,15858
1500000US060014224001,60014224001,38963,13594
1500000US060014224002,60014224002,92976,60127
1500000US060014224003,60014224003,67074,15969
1500000US060014225001,60014225001,84632,25616
1500000US060014225002,60014225002,66795,7670
1500000US060014225003,60014225003,36146,12217
1500000US060014226001,60014226001,"250,000+",***
1500000US060014227001,60014227001,51875,33262
1500000US060014227002,60014227002,-,**
1500000US060014227003,60014227003,25583,13535
1500000US060014228001,60014228001,9844,6543
1500000US060014228002,60014228002,9821,6229
1500000US060014228003,60014228003,25000,19421
1500000US060014229001,60014229001,20379,5946
1500000US060014229002,60014229002,25611,7314
1500000US060014230001,60014230001,65772,26737
1500000US060014230002,60014230002,78456,65992
1500000US060014230003,60014230003,63676,26734
1500000US060014231001,60014231001,50145,14109
1500000US060014231002,60014231002,97841,56650
1500000US060014231003,60014231003,84125,27655
1500000US060014231004,60014231004,80469,39023
1500000US060014232001,60014232001,43542,9905
1500000US060014232002,60014232002,46336,29087
1500000US060014233001,60014233001,96912,48323
